Rk,Team,Conf,W-L,NetRtg,ORtg,DRtg
1,Houston,B12,1-0,30.24,119.3,89.1
2,Auburn,SEC,1-0,28.91,119.8,90.9
3,Gonzaga,WCC,1-0,27.81,123.6,95.8
4,Duke,ACC,2-0,27.77,119.9,92.1
5,Connecticut,BE,1-0,25.7,118.7,93.0
6,Alabama,SEC,2-0,25.26,120.6,95.3
7,Kansas,B12,2-0,24.36,119.5,95.2
8,Tennessee,SEC,2-0,24.32,115.3,91.0
9,Iowa St.,B12,1-0,24.3,115.3,91.0
10,Arizona,B12,1-0,23.87,118.0,94.1
11,Purdue,B10,2-0,22.95,118.7,95.7
12,Texas Tech,B12,2-0,21.78,116.4,94.6
13,Cincinnati,B12,2-0,21.38,116.3,94.9
14,Marquette,BE,2-0,21.34,116.5,95.1
15,St. John's,BE,1-0,21.27,115.8,94.5
16,Creighton,BE,1-0,21.05,119.2,98.2
17,North Carolina,ACC,1-1,21.04,118.2,97.2
18,Texas A&M,SEC,1-1,20.49,115.6,95.1
19,Illinois,B10,2-0,19.98,116.8,96.8
20,Mississippi St.,SEC,2-0,19.77,116.0,96.2
21,Ohio St.,B10,1-0,19.57,116.1,96.5
22,Oregon,B10,2-0,19.56,115.9,96.3
23,Florida,SEC,2-0,19.51,117.3,97.8
24,Michigan,B10,1-0,19.06,115.4,96.3
25,Pittsburgh,ACC,2-0,18.82,115.8,97.0
26,Baylor,B12,0-1,18.79,117.1,98.3
27,Texas,SEC,1-1,18.68,114.5,95.8
28,Clemson,ACC,2-0,18.63,115.6,97.0
29,Arkansas,SEC,1-0,18.52,112.5,94.0
30,Dayton,A10,1-0,18.43,113.7,95.3
31,Maryland,B10,2-0,18.18,110.4,92.2
32,Boise St.,MWC,1-0,18.17,113.9,95.7
33,BYU,B12,2-0,18.1,115.3,97.2
34,Michigan St.,B10,2-0,18.1,112.4,94.3
35,UCLA,B10,1-1,17.76,112.7,95.0
36,VCU,A10,2-0,17.54,112.8,95.3
37,Kentucky,SEC,1-0,17.42,115.7,98.3
38,Northwestern,B10,1-0,16.78,112.5,95.7
39,Oklahoma,SEC,1-0,16.55,112.2,95.6
40,Memphis,Amer,1-0,16.2,113.5,97.3
41,Iowa,B10,2-0,16.06,116.9,100.9
42,Saint Mary's,WCC,2-0,16.05,115.1,99.1
