TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed,predicted_postseason_label,predicted_postseason_description
Tarleton St.,WAC,6,95.2341,106.5222,0.2145313,43.931,57.4337,33.0364,20.192,22.9325,44.3361,39.894,50.2342,38.8348,56.1278,37.959,39.433,69.0201,-2.3312,-0.7196507701142147,3.0,1.0,6,Round of 64
Arkansas Pine Bluff,SWAC,6,94.1353,115.6364,0.0858361,49.6199,60.7359,23.6346,13.0338,25.0293,42.5353,25.1312,33.2169,52.8145,67.2364,29.526,35.6262,72.531,-2.7334,-5.941355702219004,1.0,1.0,6,Round of 64
North Carolina Central   (A) 216 Georgia St.,MEAC,6,102.1214,109.0287,0.319525,48.4221,56.5321,18.4203,23.428,29.8185,41.2351,33.8192,49.2337,48.6229,65.636,32.1197,25.926,68.1276,-3.5356,-0.8523226585531143,2.0,1.0,6,Round of 64
Le Moyne   vs. 322 Tennessee Martin,NEC,5,98.8282,111.8344,0.1954324,45.3282,56.7324,19.9263,15.6262,21.7336,41.9352,35.0161,39.7262,44.6295,60.9341,30.6238,33.319,69.1199,-2.3315,0.8473547198080045,4.0,1.0,6,Round of 64
Lehigh,Pat,5,100.2256,107.9253,0.2981261,47.524,56.0308,17.1145,13.4327,15.8364,43.2358,29.626,33.918,47.7246,59.533,31.4218,32.5169,70.3121,-2.0288,1.1835641266565013,5.0,2.0,6,Round of 64
UMass Lowell,AE,5,105.3148,103.3143,0.5566138,45.3282,50.2185,20.6282,16.2237,20.4349,43.2358,48.722,35.3201,50.0196,49.7157,22.9351,34.4224,71.941,-0.514,1.3234747350797584,6.0,2.0,5,Round of 32
Tennessee Tech,OVC,6,98.0301,109.7304,0.2140314,52.4133,49.7169,17.817,19.5113,20.4349,44.8362,24.6319,23.435,52.9141,51.9193,34.6133,30.6122,68.0279,-1.625,2.340402543494813,8.0,2.0,6,Round of 64
Ohio St.   (H) 300 Campbell,B10,4,114.234,95.525,0.886623,54.878,34.01,18.2193,16.0244,31.2159,28.1131,32.8204,40.2274,52.3158,35.02,38.649,21.64,68.7226,0.528,1.982333466799552,7.0,2.0,4,Sweet Sixteen
UNC Wilmington,CAA,4,105.0155,105.6193,0.4831164,46.7254,56.2312,15.175,15.5266,30.1177,24.144,71.91,36.0209,51.9162,62.5351,25.4328,31.1134,68.4252,0.0071,4.396278757329351,11.0,3.0,6,Round of 64
Akron   (H) 279 Lamar,MAC,3,104.8159,101.8119,0.5807129,44.1307,53.1242,15.997,17.3191,27.7232,38.8337,14.6362,16.83,35.4362,58.5318,37.174,28.672,68.425,-0.9181,4.611187103135959,12.0,3.0,3,Elite Eight
Alabama A&M   (H) 307 South Carolina St.,SWAC,5,94.1354,108.3264,0.1658337,36.5362,57.1333,24.9353,23.526,34.09,45.5364,27.7285,65.2362,37.8353,58.9325,22.5353,35.9275,71.656,-1.2216,3.2127093891265464,9.0,3.0,6,Round of 64
Creighton   (H) 52 Nebraska,BE,4,116.014,95.727,0.901316,59.615,39.78,18.1183,13.7321,32.0135,26.281,34.3176,10.71,70.32,37.45,31.5214,28.364,69.2192,0.205,3.7966676703619515,10.0,3.0,6,Round of 64
Sam Houston St.,CUSA,5,108.796,103.5146,0.6371116,56.446,55.7299,19.6254,22.151,32.6118,43.0355,31.8224,35.2199,49.3216,54.524,44.07,38.6319,70.5102,-0.33108,5.227059189109605,15.0,4.0,6,Round of 64
Mississippi Valley St.,SWAC,5,89.1363,112.9355,0.0616363,36.7361,56.2312,28.6363,12.5348,22.0331,42.9354,23.2335,54.5351,38.4351,61.8346,21.2362,31.5146,68.3258,-1.221,4.948008688327223,14.0,4.0,6,Round of 64
West Georgia,ASun,5,93.9355,110.8331,0.1293353,43.8311,59.6351,20.0267,15.726,30.1177,29.3161,24.6319,32.2151,43.4308,66.0361,29.8254,34.6235,70.1134,-3.235,5.403744831756138,16.0,4.0,6,Round of 64
Norfolk St.   (A) 78 Grand Canyon,MEAC,6,102.9204,108.226,0.3591232,52.9116,45.469,18.4203,18.1167,24.1307,43.836,40.982,32.5156,55.296,47.5105,31.7208,29.494,67.1318,-1.1201,4.822868189885061,13.0,4.0,5,Round of 32
Iowa   vs. 55 Utah St.,B10,5,114.728,99.577,0.838144,57.337,48.714,15.38,23.135,28.821,29.517,28.6275,19.09,56.672,56.1278,38.844,24.415,72.822,0.625,5.455989458826871,18.0,5.0,2,Final Four
Delaware St.,MEAC,5,94.7347,107.925,0.1833328,38.5355,55.3287,18.9225,20.484,27.1247,43.0355,34.7168,38.0245,40.0337,59.3328,20.0363,34.4224,70.0138,-1.8274,5.797381602794536,19.0,5.0,6,Round of 64
Stony Brook,CAA,5,98.8283,110.1314,0.2240308,44.63,60.2357,19.4249,13.3332,25.8276,37.0322,32.0216,29.5101,42.432,65.1359,32.2194,35.3252,69.3186,-1.4235,5.443585082321729,17.0,5.0,6,Round of 64
Duke   (A) 12 Arizona,ACC,4,118.66,89.93,0.95992,56.944,39.04,13.433,20.192,36.653,23.94,24.7317,22.427,58.06,39.312,37.271,25.724,69.8151,-0.1586,5.885042018401234,20.0,5.0,0,Winner
Iowa St.,B12,3,113.936,89.92,0.93797,54.686,40.817,13.33,28.01,34.38,20.48,39.3104,21.018,59.832,43.045,31.0227,25.422,69.3189,0.1063,6.175141620208927,24.0,6.0,2,Final Four
Howard,MEAC,5,103.419,108.6273,0.361923,51.7148,56.4317,22.1326,16.5227,27.0248,28.8151,25.0313,40.1272,45.6282,66.4362,41.418,28.059,68.5242,-0.37112,5.9269608341786215,22.0,6.0,5,Round of 32
