TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Houston   (H) 148 Hofstra,B12,3,118.37,89.61,.96061,55.756,44.146,14.456,27.82,41.19,23.734,29.0269,31.9145,48.9224,49.4145,48.21,25.422,65.5354,-0.1384
Duke   (A) 12 Arizona,ACC,4,118.66,89.93,.95992,56.944,39.04,13.433,20.192,36.653,23.940,24.7317,22.427,58.060,39.312,37.271,25.724,69.8151,-0.1586
Gonzaga,WCC,5,122.21,94.714,.94953,57.042,42.628,11.22,20.776,37.639,23.734,35.6147,27.981,58.547,48.0117,36.390,22.56,70.4106,+1.52
Auburn,SEC,4,119.63,93.46,.94494,64.02,39.89,14.148,17.4187,32.8112,28.3137,29.4263,24.543,70.61,39.111,37.666,27.852,70.5103,+1.17
Tennessee   vs. 11 Baylor,SEC,5,114.827,90.04,.94235,60.610,40.817,18.5208,21.562,40.613,26.690,35.3154,27.068,60.823,39.914,40.228,27.956,69.1196,+1.26
Kansas,B12,5,118.84,93.68,.93926,57.337,44.248,12.820,17.5184,26.1268,25.056,25.9305,33.2169,60.229,46.183,34.3137,27.341,71.176,+1.34
Iowa St.,B12,3,113.936,89.92,.93797,54.686,40.817,13.330,28.01,34.380,20.48,39.3104,21.018,59.832,43.045,31.0227,25.422,69.3189,+0.1063
Alabama,SEC,5,119.72,95.424,.93128,56.249,45.876,13.944,13.6322,30.8167,26.795,42.464,33.3172,64.94,45.678,30.8233,30.6122,73.68,+0.99
North Carolina   (A) 187 Hawaii,ACC,3,117.79,95.322,.91889,53.2112,48.0118,11.53,14.6296,34.283,24.247,39.798,21.219,53.5130,47.9115,35.1116,32.1161,73.115,-0.0478
Kentucky   (H) 330 Jackson St.,SEC,4,116.911,95.018,.916110,59.118,43.036,13.742,13.0338,32.9110,23.226,29.7258,16.83,56.672,48.8129,41.815,23.09,72.530,+1.18
Baylor   vs. 5 Tennessee,B12,5,118.65,96.740,.912611,55.364,56.2312,16.8135,22.841,38.231,28.1131,32.1215,27.068,52.8145,53.5222,39.138,40.2341,68.2263,+1.25
Arizona   (H) 2 Duke,B12,3,114.826,93.99,.909712,50.2178,48.1120,13.639,20.682,50.01,15.22,44.247,48.1331,54.999,45.171,27.4303,34.8242,74.15,-0.29102
Connecticut,BE,4,114.135,93.57,.908513,61.38,36.42,17.7165,22.447,41.77,22.320,29.6260,31.3132,68.73,34.41,35.3112,27.341,67.2316,+0.0966
