TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed_with_update,predicted_postseason_label,predicted_postseason_description
Oregon,B10,9,115.034,97.138,0.875429,51.7135,45.545,15.357,18.9115,34.468,30.5207,38.281,27.569,53.0132,46.979,33.0174,29.153,68.3166,3.11,7.258135169306751,4.0,1.0,4,Sweet Sixteen
Auburn,SEC,8,126.21,96.128,0.95824,59.76,46.662,13.823,14.9306,33.596,26.461,28.1293,32.6161,63.24,44.13,36.767,35.0248,68.2173,2.92,6.858167400500025,1.0,1.0,0,Winner
Alabama,SEC,9,122.23,96.431,0.93848,55.154,45.443,16.9131,13.6337,34.371,29.1152,42.839,36.3235,60.38,47.184,33.0174,27.928,73.75,2.53,7.2269418786269375,2.0,1.0,3,Elite Eight
Kansas,B12,8,119.27,93.98,0.93967,55.841,46.866,13.17,18.6127,26.1278,23.312,21.3356,32.215,57.739,47.795,34.6121,30.588,69.5106,1.97,7.245532093040797,3.0,1.0,6,Round of 64
Duke,ACC,8,119.46,89.11,0.96661,55.645,42.414,15.463,20.373,33.693,26.049,29.1278,26.046,56.361,41.58,36.672,29.257,67.3227,1.219,7.881017070328086,6.0,2.0,2,Final Four
Purdue,B10,9,118.415,97.845,0.899917,58.017,48.7119,18.6227,15.9257,29.8183,28.5127,47.015,27.98,55.28,52.2208,41.78,29.359,64.7333,1.514,8.040607673790625,7.0,2.0,6,Round of 64
Marquette   (H) 39 Wisconsin,BE,9,115.628,94.51,0.910013,55.45,49.0127,13.925,24.45,29.5198,27.8108,27.9296,28.387,59.022,51.0182,34.2129,30.798,70.275,2.15,7.574816419220642,5.0,2.0,6,Round of 64
Memphis,Amer,8,117.019,99.777,0.863138,55.645,52.223,18.6227,19.0109,31.8134,32.1262,47.313,34.5204,49.5215,49.6148,45.52,37.1314,69.511,2.54,8.058553032416317,8.0,2.0,6,Round of 64
Florida,SEC,9,120.44,97.843,0.916611,54.766,43.42,14.129,19.787,40.67,29.9182,33.2189,26.251,58.231,42.416,33.6155,30.277,69.0136,1.98,8.406603222023211,12.0,3.0,6,Round of 64
Gonzaga   vs. 9 Kentucky,WCC,8,123.42,94.715,0.95455,55.45,45.135,12.95,18.8118,35.253,22.28,33.7171,31.0122,56.653,50.7177,35.497,24.53,70.564,1.71,8.058638283034496,9.0,3.0,1,Runner-Up
Tennessee,SEC,8,119.18,90.43,0.95963,60.52,41.99,18.2204,21.453,42.73,27.385,34.1161,25.138,63.72,43.325,37.456,26.918,66.4276,2.06,8.29251349615449,10.0,3.0,2,Final Four
Iowa St.,B12,7,119.011,93.57,0.94106,56.927,48.2111,13.413,22.524,30.3172,26.049,42.343,27.98,60.014,48.4114,34.2129,31.9134,69.5108,1.123,8.340494786145225,11.0,3.0,6,Round of 64
Kentucky   vs. 5 Gonzaga,SEC,8,118.712,95.118,0.92769,58.017,42.516,13.72,15.3288,30.5165,24.22,32.3213,24.933,60.111,45.044,36.864,25.79,73.57,1.221,8.490985497152252,13.0,4.0,6,Round of 64
Mississippi St.,SEC,8,118.514,96.734,0.911912,53.495,48.1104,12.84,21.453,35.645,27.597,30.3252,37.0245,55.872,45.346,33.2166,34.8242,69.4111,1.317,8.613574954291835,14.0,4.0,6,Round of 64
Mississippi   (H) 342 Lindenwood,SEC,8,119.19,100.589,0.875628,53.687,49.515,11.71,23.115,29.8183,28.9146,35.2127,38.828,52.6149,50.4172,36.864,32.4153,67.9199,1.318,8.898008622746994,15.0,4.0,6,Round of 64
Houston   (H) 65 Butler,B12,7,119.01,90.32,0.95992,51.614,44.427,13.39,22.622,36.336,29.4162,29.6266,36.6236,45.6309,42.819,42.54,30.8101,63.5358,-0.4587,9.10262905290843,16.0,4.0,6,Round of 64
Michigan   (H) 45 Iowa,B10,8,114.738,95.721,0.888622,57.126,41.66,21.2332,23.314,36.727,32.8277,33.0193,25.643,58.825,41.07,36.767,28.44,69.3116,1.025,9.45093702046114,19.0,5.0,3,Elite Eight
Michigan St.   (H) 41 Nebraska,B10,9,114.639,96.935,0.87353,52.1122,48.3112,16.195,17.4188,35.253,23.513,40.26,29.294,59.12,48.9128,25.7351,31.6123,68.4165,0.833,9.530879455461633,20.0,5.0,6,Round of 64
