TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Houston   (H) 71 Butler (won),B12,8,120.16,89.92,.96561,52.7110,43.622,13.921,22.228,37.224,28.2120,27.3310,37.9263,46.7290,41.06,43.33,31.0106,63.0359,-0.1272
Duke,ACC,8,119.48,89.51,.96492,55.644,42.410,15.469,20.370,33.691,26.049,29.1279,26.049,56.357,41.58,36.672,29.253,67.1224,+1.323
Tennessee,SEC,8,119.39,90.73,.95933,60.52,41.96,18.2204,21.449,42.72,27.388,34.1159,25.136,63.72,43.324,37.457,26.916,66.3271,+2.07
Auburn,SEC,8,126.51,96.430,.95774,59.76,46.660,13.820,14.9314,33.595,26.464,28.1296,32.6156,63.24,44.129,36.768,35.0251,68.1165,+3.02
Gonzaga   vs. 9 Kentucky,WCC,8,123.52,94.713,.95515,55.450,45.134,12.95,18.8115,35.248,22.28,33.7171,31.0121,56.649,50.7175,35.495,24.52,70.366,+1.811
Iowa St.,B12,7,119.210,93.56,.94216,56.924,48.2108,13.411,22.523,30.3170,26.049,42.342,27.978,60.015,48.4110,34.2129,31.9134,69.698,+1.224
Kansas,B12,8,119.57,94.19,.93987,55.842,46.864,13.17,18.6126,26.1278,23.314,21.3356,32.2148,57.736,47.788,34.6120,30.588,69.5102,+2.06
Alabama,SEC,9,122.43,96.631,.93838,55.155,45.442,16.9129,13.6338,34.368,29.1158,42.838,36.3237,60.311,47.177,33.0174,27.927,73.65,+2.64
Kentucky   vs. 5 Gonzaga,SEC,8,118.912,95.217,.92789,58.017,42.513,13.717,15.3297,30.5165,24.219,32.3203,24.931,60.113,45.040,36.866,25.78,73.56,+1.226
Illinois,B10,8,115.335,93.67,.916410,53.682,40.61,14.947,14.6319,35.936,22.911,37.091,24.931,56.554,42.012,33.9142,25.14,71.434,+0.1256
Marquette   (H) 40 Wisconsin (won),BE,10,117.121,95.418,.914111,55.547,49.6152,13.38,24.46,30.0176,28.6133,28.5290,28.991,59.520,51.2183,33.9142,31.6122,69.4104,+2.55
Florida,SEC,9,120.44,98.050,.914112,54.765,43.419,14.125,19.790,40.68,29.9181,33.2185,26.251,58.231,42.418,33.6153,30.272,69.0125,+1.910
Mississippi St.,SEC,8,118.714,97.035,.910613,53.492,48.1101,12.84,21.449,35.642,27.594,30.3254,37.0249,55.867,45.343,33.2162,34.8243,69.3111,+1.319
St. John's   (H) 54 Kansas St. (won),BE,9,115.830,94.610,.910614,53.0100,45.646,17.1140,20.469,37.719,28.9151,32.5196,29.496,54.986,42.114,33.2162,33.9213,69.980,+0.4448
UCLA,B10,8,113.254,92.94,.906315,52.8107,41.84,16.195,27.92,37.719,28.2120,34.4149,31.2127,54.888,43.122,32.5198,26.713,66.7252,-0.0770
Texas Tech,B12,8,118.913,97.943,.903316,59.58,48.1101,15.259,21.641,36.728,26.154,30.0259,32.2148,58.328,45.343,40.910,35.2258,66.5261,+0.1257
Purdue,B10,9,118.615,97.944,.901017,58.017,48.7120,18.6227,15.9261,29.8183,28.5129,47.014,27.978,55.282,52.2209,41.75,29.354,64.8322,+1.614
Maryland,B10,9,113.946,94.08,.901018,56.038,42.916,13.717,23.58,33.499,24.627,34.3152,28.789,60.113,43.122,33.2162,28.437,70.175,+0.643
Michigan St.   (H) 49 Nebraska (won),B10,10,115.929,95.823,.898419,52.9102,47.377,16.9129,17.2199,35.936,22.07,40.353,29.698,59.221,48.4110,27.2341,30.485,68.3158,+1.225
Texas A&M,SEC,9,114.443,94.714,.897120,47.2272,43.823,18.3210,19.790,43.61,30.4201,43.826,32.8160,49.4222,45.242,29.1300,28.030,66.8243,+0.933
Cincinnati,B12,7,115.433,95.721,.896121,59.29,40.61,13.513,17.4188,36.235,28.9151,21.3356,23.518,58.724,40.45,39.916,27.419,65.7291,+0.4150
Michigan   (H) 43 Iowa (won),B10,9,115.237,95.924,.891322,57.322,42.410,21.4335,21.254,37.224,32.5277,33.5180,25.136,60.78,41.79,35.2100,29.148,69.3108,+1.418
