TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Duke,ACC,7,117.516,88.61,.96261,55.352,40.75,16.6120,21.354,33.694,24.025,26.7306,27.162,56.457,40.34,36.176,27.527,68.0197,+0.4543
Houston,B12,7,118.88,90.33,.95902,51.6144,44.428,13.316,22.627,36.337,29.4163,29.6264,36.6232,45.6299,42.825,42.56,30.8105,63.3359,-0.589
Tennessee,SEC,7,117.914,89.92,.95753,60.36,40.12,19.2250,22.330,43.53,28.8147,33.7179,23.116,62.84,40.66,38.041,26.417,66.5282,+1.89
Auburn,SEC,7,123.71,94.411,.95714,60.64,45.042,13.929,16.0252,32.3123,25.443,29.6264,30.6121,65.71,42.825,36.373,33.9211,68.9139,+3.01
Gonzaga,WCC,8,123.02,94.614,.95335,55.451,45.145,12.98,18.8119,35.257,22.210,33.7179,31.0129,56.653,50.7177,35.499,24.56,70.368,+1.711
Kansas,B12,7,120.44,93.67,.94766,58.119,45.349,14.033,18.2143,27.6239,23.521,22.9345,32.3155,61.19,47.083,34.5125,28.750,69.890,+2.24
Iowa St.,B12,6,118.212,93.46,.93807,57.127,48.6125,12.87,23.610,29.6189,23.722,43.539,30.8124,61.19,50.0156,33.6158,31.1118,69.5106,+0.732
Alabama,SEC,8,121.73,96.833,.93278,54.764,45.551,16.9132,13.3340,35.650,28.7140,46.323,38.6269,60.314,46.269,32.5194,29.570,73.27,+1.86
Kentucky,SEC,7,118.710,95.318,.92569,59.99,42.417,13.215,15.8260,29.9181,22.815,32.8196,24.326,61.96,45.763,38.236,24.910,73.35,+1.316
Illinois,B10,7,115.727,93.98,.916910,55.058,40.43,15.051,15.9255,38.916,23.220,40.065,25.137,57.739,41.110,35.0108,26.014,71.529,+0.4640
Purdue,B10,8,119.07,97.035,.912611,57.820,47.9105,16.5115,15.0290,30.1177,28.5131,47.717,24.023,54.6101,51.8197,42.17,28.543,64.8338,+1.710
Florida,SEC,8,118.411,96.630,.912412,54.176,42.316,14.645,19.3106,41.36,28.9149,33.0192,27.265,57.936,41.613,32.9182,29.265,69.1126,+1.612
Marquette,BE,8,115.233,94.29,.910613,56.632,48.1109,13.722,25.24,28.5215,27.078,29.9260,27.367,61.77,50.4172,34.0145,29.982,70.465,+2.15
St. John's,BE,8,115.725,94.612,.910614,53.882,46.360,18.0192,21.746,38.122,29.5170,33.9174,29.6104,55.676,43.029,33.7154,34.2225,69.2123,+0.0959
Cincinnati,B12,6,115.728,94.915,.907515,61.41,38.51,14.033,17.7172,36.833,29.5170,21.8354,21.911,60.912,38.82,41.59,25.212,66.7270,+0.827
UCLA,B10,7,113.543,93.05,.907416,53.491,41.89,16.5115,29.11,39.413,27.9109,34.0169,28.790,56.362,42.217,31.7226,27.629,66.6278,-0.2677
Texas Tech,B12,7,118.79,98.253,.898117,60.27,47.590,16.196,21.649,38.122,27.078,30.1254,35.4213,58.333,44.136,42.08,36.2291,66.7268,-0.1172
North Carolina,ACC,7,119.16,98.759,.896518,54.666,50.2171,12.74,14.4315,25.9279,28.0113,43.244,28.181,53.5121,49.1136,37.746,34.6237,73.09,+0.0463
Texas A&M,SEC,8,115.431,95.723,.895719,47.6255,45.145,17.1142,19.3106,43.81,30.0190,44.633,35.5216,49.2217,46.677,29.9272,28.955,67.3239,+0.731
Pittsburgh,ACC,8,117.117,97.237,.895420,56.434,44.732,13.620,17.5189,31.2147,26.155,35.7130,33.3174,60.215,44.744,33.8149,29.877,68.4169,+1.218
Texas,SEC,7,115.036,95.519,.894621,56.729,42.619,12.74,19.4102,28.3216,27.184,38.091,28.790,58.234,38.21,35.790,33.6196,68.6160,+0.3049
Baylor,B12,7,119.35,99.268,.892522,54.861,56.1328,16.2100,23.315,39.512,30.9220,26.3315,30.5119,53.2131,52.0202,38.139,41.0356,66.2292,+1.119
Ohio St.,B10,7,116.721,97.238,.891123,60.64,41.27,15.576,17.7172,30.2175,26.360,34.1163,40.0287,55.970,42.623,44.83,26.116,68.0193,+0.0761
Michigan,B10,7,115.332,96.327,.888124,59.014,42.013,21.6328,24.58,37.327,32.4264,32.6203,25.034,60.117,40.78,38.534,29.671,69.2121,+0.538
BYU,B12,7,116.722,97.544,.887625,57.623,48.1109,15.988,19.983,38.419,19.32,30.1254,30.0109,62.05,44.341,35.499,35.6266,69.1132,+0.1455
Mississippi St.,SEC,7,116.820,97.848,.885526,52.0133,49.9163,11.82,22.133,33.694,27.078,31.7220,39.8284,53.6119,47.693,33.2171,35.5263,69.695,+0.924
Arizona,B12,7,115.035,96.429,.883827,51.4152,48.8129,16.3104,19.4102,40.110,26.258,34.0169,33.7182,53.9115,44.946,31.0245,35.6266,71.922,-1.4145
Connecticut,BE,8,117.118,98.456,.881528,59.512,44.940,15.266,19.694,35.945,23.823,30.5244,46.0345,63.92,40.45,36.563,36.3296,65.8308,-1.6158
Oregon,B10,8,115.629,97.746,.873229,52.4116,46.564,14.747,18.7127,34.276,29.9184,37.695,25.440,54.2110,47.899,32.8183,29.982,68.3179,+2.62
Maryland   (H) 350 Alcorn St. (won),B10,8,112.856,95.622,.870230,56.434,43.121,13.620,23.610,34.276,24.837,33.7179,28.484,60.117,42.623,33.8149,29.161,69.5105,+0.0662
Nevada,MWC,7,114.639,97.341,.867931,60.27,44.732,16.7125,17.1209,30.5168,29.5170,48.813,41.6308,55.676,45.354,46.62,29.161,64.8336,+1.022
Saint Mary's,WCC,8,114.041,96.934,.867032,52.6108,46.461,16.3104,16.8223,43.81,24.025,33.9174,27.569,53.3129,45.354,34.1139,32.3152,64.5350,+0.634
Michigan St.,B10,8,112.361,95.521,.865833,50.9165,47.9105,16.3104,18.1148,34.570,23.118,39.474,29.3100,59.626,48.3106,22.4363,31.6132,67.8211,+0.4641
Memphis,Amer,7,117.019,99.676,.864134,56.729,50.8191,18.4212,17.6183,28.3216,32.6270,46.124,35.6217,50.0199,50.0156,46.91,34.6237,69.792,+2.33
Georgia,SEC,8,113.447,96.731,.862635,57.424,44.837,21.0315,18.1148,42.64,26.973,47.319,25.844,59.922,46.677,35.790,28.137,68.5161,+1.021
Wisconsin,B10,8,116.523,99.470,.862136,54.861,47.282,13.111,17.1209,27.6239,26.566,40.560,28.790,55.580,48.8125,35.985,29.982,68.4173,+1.88
