,TEAM,predicted_seed_with_update
3,Auburn,1.0
30,Memphis,1.0
5,Kansas,1.0
7,Alabama,1.0
12,Marquette   (H) 328 Stonehill,2.0
1,Duke,2.0
2,Tennessee   (H) 327 Tennessee Martin (won),2.0
8,Kentucky,2.0
0,Houston,3.0
13,North Carolina,3.0
31,Wisconsin,3.0
15,Purdue,3.0
33,Oregon,4.0
6,Iowa St.,4.0
4,Gonzaga,4.0
20,Baylor   (H) 339 New Orleans (won),4.0
25,Mississippi St.,5.0
11,Cincinnati   (H) 238 Alabama St.,5.0
24,Florida,5.0
9,St. John's,5.0
46,New Mexico,6.0
17,Texas A&M,6.0
22,Pittsburgh,6.0
29,Nevada,6.0
42,Nebraska   (H) 234 South Dakota,7.0
35,Clemson,7.0
10,UCLA,7.0
23,Ohio St.,7.0
67,Arizona St.,8.0
16,Arizona,8.0
27,Michigan,8.0
40,Saint Mary's,8.0
39,Indiana,9.0
37,Michigan St.,9.0
18,Texas,9.0
19,Texas Tech,9.0
34,VCU,10.0
14,Illinois,10.0
43,Louisville,10.0
41,Georgia,10.0
36,Creighton,11.0
69,LSU,11.0
70,San Diego St.,11.0
60,West Virginia,11.0
44,Iowa,11.0
77,UCF   (H) 170 Milwaukee,11.0
38,Mississippi,12.0
80,Liberty,12.0
32,Arkansas,12.0
45,Rutgers,12.0
66,Wake Forest,13.0
358,Florida A&M,13.0
74,North Texas,13.0
53,Boise St.,13.0
47,Penn St.,14.0
89,Virginia,14.0
64,Vanderbilt,14.0
48,Northwestern,14.0
81,Wichita St.,15.0
363,Mississippi Valley St.,15.0
56,Utah St.,15.0
51,Kansas St.,15.0
57,San Francisco,16.0
52,N.C. State,16.0
88,Washington,16.0
100,Louisiana Tech,16.0
58,Xavier,16.0
28,Maryland   (H) 242 Bucknell (won),16.0
