,TEAM,predicted_seed_with_update
349,Canisius   (H) 223 Merrimack,1.0
5,Iowa St.,1.0
6,Kansas,1.0
20,Texas,1.0
1,Houston,2.0
11,Mississippi St.,2.0
265,Oral Roberts,2.0
144,Wofford,2.0
62,Missouri,3.0
335,Stony Brook,3.0
363,Mississippi Valley St.,3.0
27,Georgia,3.0
26,Oregon,4.0
22,Michigan,4.0
17,Maryland,4.0
18,Texas A&M,4.0
45,Rutgers,5.0
4,Gonzaga,5.0
16,Purdue,5.0
282,Colgate,5.0
83,UCF,6.0
82,Wake Forest,6.0
362,Coppin St.,6.0
0,Duke,6.0
166,Charlotte,7.0
360,Arkansas Pine Bluff,7.0
10,Florida,7.0
206,North Alabama,7.0
12,Marquette,8.0
253,Valparaiso,8.0
233,Louisiana,8.0
28,Mississippi,8.0
87,Loyola Chicago,9.0
35,Saint Mary's,9.0
328,USC Upstate,9.0
3,Auburn,9.0
117,High Point   (H) 66 North Texas,10.0
32,Clemson,10.0
181,Winthrop,10.0
340,Delaware St.,10.0
53,West Virginia   (H) 102 Georgetown,11.0
79,Oklahoma St.,11.0
78,Liberty,11.0
230,Mercer,11.0
15,Texas Tech,11.0
42,Arkansas,11.0
175,Illinois Chicago,12.0
41,Penn St.,12.0
49,Oklahoma,12.0
29,Michigan St.,12.0
146,Wright St.,13.0
257,North Carolina Central,13.0
38,Wisconsin,13.0
44,Iowa,13.0
50,Kansas St.,14.0
19,Cincinnati,14.0
86,DePaul,14.0
55,Louisville,14.0
327,Tarleton St.,15.0
348,Texas A&M Commerce,15.0
135,Ohio,15.0
361,VMI,15.0
77,Miami FL,16.0
336,Saint Francis,16.0
226,South Dakota,16.0
94,Wichita St.,16.0
350,Alcorn St.,16.0
297,Penn,16.0
